episode,env_return,shaped_return,length,lives_lost
0,2.0,32.93482536764705,220,5
1,0.0,16.94731617647059,132,5
2,0.0,13.129751838235295,134,5
3,1.0,27.013033088235296,183,5
4,0.0,13.655413602941174,132,5
5,0.0,12.432821691176471,129,5
6,0.0,17.33912683823529,139,5
7,2.0,40.58997242647062,234,5
8,2.0,32.2534650735294,209,5
9,3.0,44.27773897058824,250,5
10,1.0,28.3007536764706,179,5
11,0.0,14.624034926470587,133,5
12,4.0,55.99563419117649,299,5
13,0.0,15.644834558823533,143,5
14,2.0,27.111663602941178,202,5
15,0.0,13.945551470588246,139,5
16,0.0,5.693740808823528,135,5
17,0.0,15.822693014705882,134,5
18,4.0,55.9521415441176,327,5
19,3.0,46.308281249999965,271,5
20,0.0,11.593336397058827,139,5
21,0.0,8.816691176470586,160,5
22,5.0,66.42767463235292,353,5
23,2.0,36.81998161764707,222,5
24,5.0,69.13983455882355,369,5
25,3.0,33.38840073529411,238,5
26,3.0,48.822545955882376,260,5
27,2.0,32.90313419117646,215,5
28,2.0,28.63988970588234,220,5
29,0.0,16.667242647058824,132,5
30,0.0,12.83608455882353,129,5
31,0.0,19.374264705882354,158,5
32,0.0,9.38815257352941,129,5
33,0.0,16.202518382352935,131,5
34,2.0,35.51655330882353,214,5
35,0.0,10.589237132352938,144,5
36,1.0,22.807775735294125,180,5
37,3.0,42.59429227941177,290,5
38,2.0,30.844163602941194,206,5
39,4.0,56.3952757352941,314,5
40,0.0,11.426727941176463,140,5
41,0.0,13.058749999999993,133,5
42,3.0,45.95994485294119,257,5
43,3.0,40.590514705882356,271,5
44,1.0,17.1566268382353,160,5
45,1.0,29.070073529411776,195,5
46,2.0,35.9789705882353,215,5
47,0.0,15.674761029411757,128,5
48,2.0,30.325845588235303,203,5
49,0.0,12.420404411764707,131,5
50,2.0,28.528262867647058,208,5
51,2.0,41.86076286764706,246,5
52,4.0,58.233814338235305,290,5
53,0.0,13.400422794117642,132,5
54,0.0,5.495523897058822,138,5
55,1.0,25.967251838235285,161,5
56,0.0,18.71090992647058,138,5
57,3.0,50.86596507352941,272,5
58,0.0,14.82802389705883,126,5
59,1.0,19.866314338235295,182,5
60,0.0,13.771920955882358,132,5
61,0.0,12.857830882352939,127,5
62,2.0,31.44779411764704,216,5
63,0.0,14.268446691176472,134,5
64,0.0,18.86121323529412,144,5
65,0.0,11.674852941176471,138,5
66,3.0,40.092913602941174,256,5
67,2.0,38.05772977941177,206,5
68,0.0,18.003621323529412,128,5
69,2.0,45.12750919117645,225,5
70,4.0,50.997720588235275,265,5
71,2.0,33.421250000000015,205,5
72,3.0,51.822748161764714,270,5
73,1.0,22.200698529411767,155,5
74,2.0,44.573400735294136,225,5
75,1.0,20.624595588235284,163,5
76,0.0,18.602913602941182,131,5
77,1.0,29.7928400735294,162,5
78,1.0,25.715965073529404,168,5
79,1.0,22.320174632352934,181,5
80,2.0,37.52980698529412,208,5
81,0.0,24.97682904411764,157,5
82,0.0,13.791452205882354,144,5
83,2.0,33.16727022058824,197,5
84,0.0,16.917702205882357,129,5
85,4.0,48.77548713235292,307,5
86,0.0,13.632876838235289,125,5
87,4.0,55.00922794117648,285,5
88,0.0,14.20100183823529,125,5
89,1.0,26.1833731617647,162,5
90,3.0,45.12407169117645,249,5
91,0.0,16.311727941176468,131,5
92,2.0,39.10988051470587,228,5
93,2.0,40.907132352941176,227,5
94,1.0,25.532849264705884,172,5
95,2.0,34.57658088235293,193,5
96,1.0,31.844733455882345,186,5
97,1.0,25.956130514705862,166,5
98,2.0,43.26831801470587,212,5
99,0.0,16.386093750000004,127,5
100,1.0,28.987867647058824,177,5
101,3.0,43.88133272058826,237,5
102,1.0,25.80197610294118,178,5
103,0.0,15.345110294117646,127,5
104,0.0,17.567729779411756,130,5
105,2.0,38.63486213235296,211,5
106,0.0,16.561020220588222,131,5
107,1.0,21.499779411764692,157,5
108,2.0,47.54685661764704,252,5
109,1.0,30.784558823529398,181,5
110,3.0,56.921939338235276,283,5
111,3.0,50.931847426470576,233,5
112,2.0,36.678970588235266,192,5
113,1.0,30.08389705882353,196,5
114,0.0,17.23917279411765,130,5
115,0.0,17.235395220588234,139,5
116,1.0,31.27303308823529,181,5
117,2.0,39.383382352941176,208,5
118,2.0,33.50288602941177,213,5
119,2.0,35.68424632352941,210,5
120,2.0,42.904678308823506,219,5
121,2.0,40.59294117647058,224,5
122,1.0,25.14439338235296,160,5
123,2.0,34.401148897058825,215,5
124,0.0,18.524889705882362,136,5
125,0.0,15.961645220588235,139,5
126,0.0,19.912270220588248,135,5
127,1.0,29.996250000000007,170,5
128,4.0,68.4111672794118,319,5
129,1.0,31.075229779411757,181,5
130,4.0,65.2681801470588,273,5
131,2.0,35.25733455882352,202,5
132,1.0,26.056387867647057,170,5
133,3.0,49.99432904411761,240,5
134,1.0,29.801406250000007,170,5
135,2.0,45.839522058823555,225,5
136,1.0,31.8461580882353,173,5
137,1.0,27.79357536764705,164,5
138,0.0,21.759209558823542,144,5
139,1.0,29.923759191176458,175,5
140,0.0,17.06811580882353,129,5
141,0.0,16.231075367647065,126,5
142,3.0,49.5462224264706,286,5
143,1.0,28.349384191176473,181,5
144,0.0,17.812408088235287,132,5
145,1.0,30.423943014705895,162,5
146,0.0,18.38782169117647,130,5
147,1.0,34.13110294117647,184,5
148,0.0,17.179117647058817,130,5
149,3.0,47.63672794117645,241,5
150,0.0,19.634503676470594,130,5
151,0.0,17.71333639705883,126,5
152,3.0,53.90449448529413,252,5
153,1.0,32.15279411764706,175,5
154,1.0,30.58754595588236,176,5
155,0.0,21.31564338235294,140,5
156,0.0,20.08352022058824,131,5
157,2.0,40.62627757352942,199,5
158,1.0,26.66609374999999,179,5
159,2.0,34.70574448529409,239,5
160,3.0,48.06457720588236,236,5
161,0.0,16.51633272058823,122,5
162,0.0,10.930303308823525,131,5
163,3.0,42.61057904411766,250,5
164,1.0,29.206424632352935,176,5
165,2.0,39.784237132352914,207,5
166,0.0,13.11366727941176,126,5
167,3.0,50.37015625,253,5
168,1.0,30.04341911764705,174,5
169,1.0,30.282895220588227,178,5
170,0.0,22.174347426470586,140,5
171,0.0,20.511994485294114,129,5
172,0.0,15.680808823529414,131,5
173,2.0,36.24144301470589,202,5
174,1.0,26.986213235294127,151,5
175,0.0,21.18269301470587,135,5
176,0.0,17.856507352941176,125,5
177,2.0,40.87509191176471,211,5
178,1.0,25.648125000000007,180,5
179,0.0,15.556066176470589,129,5
180,0.0,12.39832720588235,138,5
181,3.0,50.5861488970588,248,5
182,1.0,28.356875000000002,171,5
183,2.0,42.324917279411785,218,5
184,0.0,20.17631433823529,126,5
185,1.0,28.468262867647066,157,5
186,0.0,19.93711397058823,129,5
187,2.0,42.79333639705881,226,5
188,3.0,53.51565257352939,246,5
189,1.0,33.23590992647058,180,5
190,1.0,28.470661764705888,159,5
191,0.0,14.454237132352945,128,5
192,0.0,17.903281249999996,122,5
193,1.0,25.80175551470589,155,5
194,2.0,42.705229779411766,191,5
195,0.0,18.449126838235287,125,5
196,0.0,15.561332720588235,122,5
197,0.0,19.095147058823525,127,5
198,0.0,16.63708639705883,128,5
199,1.0,28.935670955882358,171,5
200,3.0,41.616691176470596,227,5
201,3.0,56.114080882352916,289,5
202,1.0,24.24045955882351,151,5
203,1.0,28.835349264705883,179,5
204,0.0,15.666433823529406,123,5
205,0.0,20.553336397058825,135,5
206,2.0,43.16026654411763,212,5
207,2.0,42.01457720588239,214,5
208,1.0,27.766066176470588,153,5
209,0.0,20.023694852941173,132,5
210,5.0,78.66864889705887,333,5
211,1.0,30.149742647058822,174,5
